Country,Smartphone Usage (%)
China,59.9
India,25.3
United States,79.1
Brazil,45.6
Russian Federation,66.3
Indonesia,31.1
Japan,57.2
Germany,79.9
Mexico,49.5
United Kingdom,82.9
France,77.5
Iran,54.8
Turkey,54.0
Vietnam,44.9
Philippines,33.6
South Korea,70.4
Italy,60.8
Spain,74.3
Pakistan,15.9
Bangladesh,18.5
Egypt,30.1
Thailand,43.6
Nigeria,14.9
Canada,73.8
Poland,66.4
Argentina,53.0
South Africa,41.6
Saudi Arabia,68.3
Malaysia,66.5
Colombia,41.1
Australia,69.3
"Taiwan, China",72.0
Algeria,37.9
Morocco,39.0
Peru,42.2
Venezuela,39.9
Ukraine,28.6
Netherlands,71.2
Romania,60.2
Chile,60.3
Iraq,24.2
Belgium,69.6
Kazakhstan,43.4
United Arab Emirates,82.1
Sweden,73.7
Czech Republic,67.6
Azerbaijan,69.0
Portugal,67.6
Greece,63.0
Switzerland,72.9
