Overall Rank Happiness,Country,Score Happiness,Facebook Users (%),Smartphone Usage (%)
5,Netherlands,7.4879999999999995,57.19330730921129,71.2
6,Switzerland,7.48,42.75172272110787,72.9
7,Sweden,7.343,62.380777214975545,73.7
9,Canada,7.278,60.939818114249654,73.8
11,Australia,7.228,58.82379700237068,69.3
15,United Kingdom,7.053999999999999,64.81453152402783,82.9
17,Germany,6.985,36.999930129809364,79.9
18,Belgium,6.922999999999999,56.084654349843824,69.6
19,United States,6.892,72.50697215715049,79.1
20,Czech Republic,6.852,42.95460044237635,67.6
21,United Arab Emirates,6.825,88.33816866088962,82.1
23,Mexico,6.595,60.496652855927145,49.5
24,France,6.5920000000000005,50.5564960340497,77.5
26,Chile,6.444,68.00514390908529,60.3
28,Saudi Arabia,6.375,68.13376197091097,68.3
30,Spain,6.354,49.192833297165905,74.3
32,Brazil,6.3,65.39348007338579,45.6
36,Italy,6.223,49.61808464071197,60.8
40,Poland,6.182,36.99142308937516,66.4
43,Colombia,6.125,56.99361697038794,41.1
47,Argentina,6.086,66.37788745469875,53.0
48,Romania,6.07,46.263348340505104,60.2
52,Thailand,6.007999999999999,65.9025995681546,43.6
54,South Korea,5.895,42.59088573379897,70.4
58,Japan,5.886,22.13850686413498,57.2
60,Kazakhstan,5.809,49.241861206014455,43.4
65,Peru,5.697,60.65779619186716,42.2
66,Portugal,5.693,56.881097616887956,67.6
67,Pakistan,5.653,16.781930962386475,15.9
69,Philippines,5.631,65.48575840803464,33.6
79,Turkey,5.372999999999999,52.170366077205955,54.0
80,Malaysia,5.3389999999999995,78.84817644590547,66.5
82,Greece,5.287000000000001,47.97058520468185,63.0
85,Nigeria,5.265,13.156133730333575,14.9
88,Algeria,5.211,43.32850091322798,37.9
89,Morocco,5.207999999999999,49.660584938294086,39.0
90,Azerbaijan,5.207999999999999,18.285507788255398,69.0
92,Indonesia,5.192,50.07245900870387,31.1
93,China,5.191,0.09240450426631458,59.9
94,Vietnam,5.175,68.54425109287861,44.9
106,South Africa,4.7219999999999995,35.880070863139956,41.6
108,Venezuela,4.707,45.71679360696358,39.9
117,Iran,4.548,47.623045120132645,54.8
125,Bangladesh,4.456,20.470657783689674,18.5
126,Iraq,4.437,52.89577649997975,24.2
133,Ukraine,4.332,21.7223480568628,28.6
137,Egypt,4.166,41.43279126343473,30.1
140,India,4.015,18.188348002966674,25.3
